Date,Open,High,Low,Close,Volume
2015-01-01 00:00:00+05:30,91.48502243379187,91.7913272761285,91.14560519317773,91.46018981933594,1082549
2015-01-02 00:00:00+05:30,91.62576137970571,92.75990316206904,91.55952984409483,92.27147674560547,4198953
2015-01-05 00:00:00+05:30,92.23009655132199,93.54636680645746,91.97346363361397,92.43705749511719,3838601
2015-01-06 00:00:00+05:30,91.89065448453196,92.12245472130061,89.75482081514015,90.27635955810547,12396695
2015-01-07 00:00:00+05:30,89.93696187049905,90.23498696129634,89.13395749300055,89.58927154541016,8305581
2015-01-08 00:00:00+05:30,92.08106531145822,92.53637927875144,89.93694505768894,90.23497009277344,7792131
2015-01-09 00:00:00+05:30,90.93035664875418,92.71850010846357,89.94522414724554,91.64230346679688,13587116
2015-01-12 00:00:00+05:30,91.0628144467669,92.55293289789721,90.68200505074303,92.06450653076172,4421790
2015-01-13 00:00:00+05:30,92.23835937838373,93.82782182931092,91.89066236192822,93.2979965209961,6312675
2015-01-14 00:00:00+05:30,93.71193102478195,94.29142163935462,91.0628310724497,91.38568878173828,9723858
2015-01-15 00:00:00+05:30,92.7185036595383,93.38077854131339,91.26977735565528,92.6357192993164,6993422
2015-01-16 00:00:00+05:30,92.8509534865841,93.28143482442086,91.54296338140077,91.89893341064453,8304680
2015-01-19 00:00:00+05:30,97.86769462096596,99.0929072077355,96.41896830137969,96.72527313232422,32334205
2015-01-20 00:00:00+05:30,97.03983851694876,98.34783529644713,96.51002002139586,97.75178527832031,13390593
2015-01-21 00:00:00+05:30,97.61932315302728,98.5133981269394,95.4752099512407,97.4703140258789,17701408
2015-01-22 00:00:00+05:30,99.37358840921564,100.6704962244044,98.48090928721504,100.13993835449219,19458651
2015-01-23 00:00:00+05:30,100.92313259791683,101.73159677144467,99.41568770080058,101.36104583740234,19277835
2015-01-27 00:00:00+05:30,101.46210933831722,102.02635176034939,100.21573188956687,100.81365203857422,15764550
2015-01-28 00:00:00+05:30,100.38415703769198,103.07903300075228,100.34204960076916,102.27899169921875,16769969
2015-01-29 00:00:00+05:30,102.40533639410079,103.50012999339782,101.02420667840109,101.51265716552734,13488321
2015-01-30 00:00:00+05:30,102.22004782393964,102.75059883595186,100.57785763489991,102.16109466552734,9393192
2015-02-02 00:00:00+05:30,103.07904325302282,105.72338918409832,102.5737539596928,105.28546905517578,15948657
2015-02-03 00:00:00+05:30,105.10019731635781,105.78233921285323,104.04751131973661,104.68754577636719,8465539
2015-02-04 00:00:00+05:30,104.96545950258684,106.09393759945502,103.79487396289952,104.29174041748047,8923261
2015-02-05 00:00:00+05:30,104.58648425109875,108.31720750206813,104.57806139251565,107.50032043457031,12263607
2015-02-06 00:00:00+05:30,107.45821204026191,110.27098760259214,107.12135252732598,108.34246826171875,11074311
