Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,RSI,%K,%D,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower
2015-01-01 00:00:00+05:30,1058.2192297507531,1058.2192297507531,1047.5009983625491,1049.376708984375,366830,,1049.376708984375,,,,0.0,0.0,,
2015-01-02 00:00:00+05:30,1051.6231229461905,1068.0920733236562,1051.4582673791156,1063.351318359375,925740,,1050.7076241629463,,,,1.1147836538461888,0.22295673076923778,,
2015-01-05 00:00:00+05:30,1063.9907862803395,1071.7820772355308,1040.7610362949667,1047.1920166015625,1754242,,1050.3728043951955,,,,0.6864244543407949,0.3156502754835492,,
2015-01-06 00:00:00+05:30,1042.5953425267314,1042.5953425267314,1005.8647493322704,1008.5855712890624,2423784,,1046.3930679088971,,,,-2.7367235411902584,-0.29482448785121235,,
2015-01-07 00:00:00+05:30,1018.2318437762516,1022.0037959761908,992.4462358626662,996.6716918945312,2636332,,1041.6576987646717,,,,-6.337884303734654,-1.5034364510279008,,
2015-01-08 00:00:00+05:30,1006.8540175185744,1009.5748392950712,997.8466421197758,1007.4312133789062,1565408,,1038.398033489837,,,,-8.228770545678799,-2.848503269958081,,
2015-01-09 00:00:00+05:30,1012.0485645769578,1038.802883521225,1009.9873658710984,1035.669921875,3197642,,1038.138213336043,,,,-7.363798455824735,-3.7515623071314117,,
2015-01-12 00:00:00+05:30,1037.6070253200205,1042.1416607107717,1022.4572207191025,1034.59765625,1596006,,1037.8010174230865,,,,-6.687732697895626,-4.338796385284255,,
2015-01-13 00:00:00+05:30,1038.8438119600078,1043.1310636246085,1022.3954918617486,1029.7332763671875,1468432,,1037.0326611320484,,,,-6.469879770535499,-4.7650130623345035,,
2015-01-14 00:00:00+05:30,1037.195021213647,1043.7084282007152,1030.8053062578394,1039.6478271484375,1787096,,1037.2817245621807,,,,-5.434562118167605,-4.8989228735011245,,
2015-01-15 00:00:00+05:30,1044.2035583319248,1064.3002513712777,1040.1842197240542,1046.71826171875,5009920,,1038.1804423866158,,,,-3.997460206935102,-4.718630340187921,,
2015-01-16 00:00:00+05:30,1048.613681664634,1049.149613187287,1024.1266936224697,1043.852294921875,5293830,,1038.7206188185453,,,,-3.05459469096877,-4.385823210344091,,
2015-01-19 00:00:00+05:30,1045.4396573047345,1051.6232514922622,1031.8357500921727,1035.1336669921875,1135074,,1038.3790043588922,,,,-2.9765752789364797,-4.103973624062569,,
2015-01-20 00:00:00+05:30,1038.8439736871576,1042.9663704081383,1023.6941657375532,1030.78466796875,2058566,,1037.6557342264978,44.13528739040196,48.32422703617635,,-3.2284565701945667,-3.9288702132889686,,
